node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
opi5,2CATAC,guided,2,2,2,2,half,8.0989,8.059,8.13,0.0710000000000015,0.02287380840855155
opi5,2CATAC,guided,4,4,4,4,full,14.497400000000003,14.338,14.715,0.37700000000000067,0.13660502674987246
opi5,FERTAC,guided,2,2,2,2,half,7.7217,7.688,7.768,0.08000000000000007,0.02588886504529188
opi5,FERTAC,guided,4,4,4,4,full,10.5501,10.497,10.611,0.11400000000000077,0.04516746616758577
opi5,HeRAD,guided,2,2,2,2,half,8.073599999999999,8.052,8.104,0.0519999999999996,0.014930952191114054
opi5,HeRAD,guided,4,4,4,4,full,15.238799999999998,14.665,15.652,0.9870000000000001,0.2819388428562321
opi5,OTAC_big,guided,2,2,0,2,half,5.461399999999999,5.402,5.488,0.0860000000000003,0.026953457828057817
opi5,OTAC_big,guided,4,4,0,4,full,9.3405,9.248,9.454,0.2060000000000013,0.07867690611326539
opi5,OTAC_little,guided,2,2,2,0,half,2.0793000000000004,2.047,2.096,0.04899999999999993,0.01796323405675542
opi5,OTAC_little,guided,4,4,4,0,full,3.701800000000001,3.689,3.715,0.0259999999999998,0.0085608929959957
